Label Value,Code,Description
Infectious diseases,HW,Barnard Catalogue: HW
Influenza,KL,Barnard Catalogue: KL
Intellectual disability,UJEE,Barnard Catalogue: UJEE
Intestinal helminths,MBP,Barnard Catalogue: MBP
Kidney disease,USK-USLM,Barnard Catalogue: USK-USLM
Lassa fever,KQP,Barnard Catalogue: KQP
Leishmaniasis,LQ-LU,Barnard Catalogue: LQ-LU
Leprosy,JD-JDP,Barnard Catalogue: JD-JDP
Leptospirosis,JZ,Barnard Catalogue: JZ
Leukaemias,PYX,Barnard Catalogue: PYX
Long-term fatigue,UJK,Barnard Catalogue: UJK
Lung disease,UO,Barnard Catalogue: UO
Lyme disease ,JYG,Barnard Catalogue: JYG
Lymphatic filariasis,MS,Barnard Catalogue: MS
Malaria,LF-LFZ,Barnard Catalogue: LF-LFZ
Malnutrition,BEXU,Barnard Catalogue: BEXU
Marburg virus,KEA,Barnard Catalogue: KEA
Measles,KNM,Barnard Catalogue: KNM
Melioidosis,JFM,Barnard Catalogue: JFM
Meningitis,JJ,Barnard Catalogue: JJ
Mental health,UJ-UJXS,Barnard Catalogue: UJ-UJXS
MERS,KFC,Barnard Catalogue: KFC
Mood disorders,UJM,Barnard Catalogue: UJM
Neglected Tropical Diseases (NTDs),"UB, HW","Barnard Catalogue: UB, HW"
Nematodes,MN,Barnard Catalogue: MN
Neurological disease,UIE,Barnard Catalogue: UIE
Nicotine addiction,GFW,Barnard Catalogue: GFW
Non-communicable diseases,,Barnard Catalogue: 
Obesity,GY,Barnard Catalogue: GY
Onchocerciasis,MU,Barnard Catalogue: MU
Physical disabilities ,UEDY-UEFW,Barnard Catalogue: UEDY-UEFW
Plague,JN,Barnard Catalogue: JN
Pneumonia,JH,Barnard Catalogue: JH
Rabies ,KK,Barnard Catalogue: KK
Respiratory disease,UO-UOY,Barnard Catalogue: UO-UOY
Rift Valley fever,KH,Barnard Catalogue: KH
Ringworm ,IT,Barnard Catalogue: IT
Rubella,KNV,Barnard Catalogue: KNV
Salmonella ,JS,Barnard Catalogue: JS
SARS,KFB,Barnard Catalogue: KFB
Scabies,NGI,Barnard Catalogue: NGI
Schistosomiasis,MH,Barnard Catalogue: MH
Sepsis,"JGCB, PYG","Barnard Catalogue: JGCB, PYG"
Sexually transmitted disease,UTU,Barnard Catalogue: UTU
Sexually transmitted infection,UTU,Barnard Catalogue: UTU
Sickle-cell disease,PYHS,Barnard Catalogue: PYHS
Skin disease,UR-URY,Barnard Catalogue: UR-URY
Soil transmitted helminths,"BLH, M-MZ","Barnard Catalogue: BLH, M-MZ"
Stroke,"UITH, UHS.P","Barnard Catalogue: UITH, UHS.P"
Substance abuse,,Barnard Catalogue: 
Syphilis,JX,Barnard Catalogue: JX
Tetanus,JM,Barnard Catalogue: JM
Toxoplasmosis ,LE,Barnard Catalogue: LE
Trachoma,JVX,Barnard Catalogue: JVX
Trichomoniasis ,LW,Barnard Catalogue: LW
Tropical diseases,"UB, HW ","Barnard Catalogue: UB, HW "
Tropical skin diseases,URJ,Barnard Catalogue: URJ
Tuberculosis,JC-JCK,Barnard Catalogue: JC-JCK
Vector borne disease,HW,Barnard Catalogue: HW
Whipworm infection,MO,Barnard Catalogue: MO
Wounds and injuries,VS-VTL,Barnard Catalogue: VS-VTL
Yaws,JXK,Barnard Catalogue: JXK
Yellow fever,KP,Barnard Catalogue: KP
Zika,KPE,Barnard Catalogue: KPE
Zoonoses,OJ,Barnard Catalogue: OJ
