Label Value,Code,Description
Health policy,SO-SPT,Barnard Catalogue: SO-SPT
Health sector development,SO-SPT,Barnard Catalogue: SO-SPT
Health service management,SOFU,Barnard Catalogue: SOFU
Health services,SOF,Barnard Catalogue: SOF
Health services research,"SOF, SOFG-SOFY, SOFZ","Barnard Catalogue: SOF, SOFG-SOFY, SOFZ"
Health status measurement,SOA,Barnard Catalogue: SOA
Health systems,SOF,Barnard Catalogue: SOF
Health technology assessment,SOA,Barnard Catalogue: SOA
Health workers,"SOF, SOFG-SOFY, SOFZ","Barnard Catalogue: SOF, SOFG-SOFY, SOFZ"
Healthcare for adults with disabilities,SOZ,Barnard Catalogue: SOZ
Heat (health effects),FQ-FR,Barnard Catalogue: FQ-FR
Helminthology,M,Barnard Catalogue: M
History (social science),ZU,Barnard Catalogue: ZU
History of medicine,D-DY,Barnard Catalogue: D-DY
History of public health,SO.D,Barnard Catalogue: SO.D
Homelessness,ZVL,Barnard Catalogue: ZVL
Hospitals,SY-SYQZ,Barnard Catalogue: SY-SYQZ
Housing,"SG-SGTB, ZVL","Barnard Catalogue: SG-SGTB, ZVL"
Human genetics,BJS-BJZ,Barnard Catalogue: BJS-BJZ
Hygiene,S,Barnard Catalogue: S
Immunisation,HI-HIB,Barnard Catalogue: HI-HIB
Immunity,HB,Barnard Catalogue: HB
Immunoepidemiology,HB.E,Barnard Catalogue: HB.E
Immunology,H-HT,Barnard Catalogue: H-HT
Immunopathology,HB,Barnard Catalogue: HB
Impact evaluation,,Barnard Catalogue: 
Implementation science,SO,Barnard Catalogue: SO
Inclusive community development,SOZ,Barnard Catalogue: SOZ
Infectious disease policy,SP-SPE,Barnard Catalogue: SP-SPE
Innate immunity,"HB, HBP","Barnard Catalogue: HB, HBP"
Insecticides,NDI,Barnard Catalogue: NDI
Insects,"N, NI-NZ","Barnard Catalogue: N, NI-NZ"
International health organisations,SOB,Barnard Catalogue: SOB
International relations,ZVZ,Barnard Catalogue: ZVZ
IT and computing,BBK,Barnard Catalogue: BBK
Laboratory diagnosis,QH,Barnard Catalogue: QH
Law (social science),ZVT,Barnard Catalogue: ZVT
Legal medicine,T-TB,Barnard Catalogue: T-TB
Life-course epidemiology,UX.E,Barnard Catalogue: UX.E
Malacology,BLK,Barnard Catalogue: BLK
Malpractice,TD,Barnard Catalogue: TD
Management (social science),ZVU,Barnard Catalogue: ZVU
Marketing,ZVU,Barnard Catalogue: ZVU
Maternal health,"SQH, UW-UWC","Barnard Catalogue: SQH, UW-UWC"
Mathematical modelling,BBG,Barnard Catalogue: BBG
Mathematics ,BB-BBJ,Barnard Catalogue: BB-BBJ
Medical and vital statistics,EH,Barnard Catalogue: EH
Medical anthropology,ZP,Barnard Catalogue: ZP
Medical biography,DW-DY,Barnard Catalogue: DW-DY
Medical engineering,CBW,Barnard Catalogue: CBW
Medical entomology,N,Barnard Catalogue: N
Medical ethics,CBE,Barnard Catalogue: CBE
Medical law,TB,Barnard Catalogue: TB
Medical mycology,IO,Barnard Catalogue: IO
Medical practice,CBK-CBS,Barnard Catalogue: CBK-CBS
Medical profession,CB,Barnard Catalogue: CB
Medical sociology,SQC,Barnard Catalogue: SQC
Medicine,C ,Barnard Catalogue: C 
Medicines,RB-ROH,Barnard Catalogue: RB-ROH
Menstrual hygiene,UVG,Barnard Catalogue: UVG
Microbiology,J,Barnard Catalogue: J
Midwifery,UWB,Barnard Catalogue: UWB
Migration,ZYG,Barnard Catalogue: ZYG
Military medicine,UC,Barnard Catalogue: UC
Minority health,SON,Barnard Catalogue: SON
Mixed methods research,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Mobile technologies,"C.AQ, C.AU","Barnard Catalogue: C.AQ, C.AU"
Modelling ,,Barnard Catalogue: 
Molecular biology,BJY,Barnard Catalogue: BJY
Molecular epidemiology,BJT.E,Barnard Catalogue: BJT.E
Morbidity,EP,Barnard Catalogue: EP
Mosquitoes,NO,Barnard Catalogue: NO
Musculoskeletal system,UE,Barnard Catalogue: UE
Mycology,I ,Barnard Catalogue: I 
National history of medicine,DU,Barnard Catalogue: DU
Natural disasters,,Barnard Catalogue: 
Neonatal health,"UWM, UXB","Barnard Catalogue: UWM, UXB"
Neurology,UI,Barnard Catalogue: UI
Newborn health,"UWM, UXB","Barnard Catalogue: UWM, UXB"
NHS,SOFG-SOFY,Barnard Catalogue: SOFG-SOFY
NHS economics,CBTG,Barnard Catalogue: CBTG
Nursing,RX-RXZ,Barnard Catalogue: RX-RXZ
Nutrition,BEX-BEXY,Barnard Catalogue: BEX-BEXY
Nutritional toxicology,GN,Barnard Catalogue: GN
Obstetrics,UW,Barnard Catalogue: UW
Occupational health,SQR-SQZZ,Barnard Catalogue: SQR-SQZZ
Older people's health,UY-UYW,Barnard Catalogue: UY-UYW
Operational research,BBO,Barnard Catalogue: BBO
Ophthalmology,UK-UKZ,Barnard Catalogue: UK-UKZ
"Optometry, opticians",UKE,Barnard Catalogue: UKE
Organisational research,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Otology,UL,Barnard Catalogue: UL
Outbreaks,HW,Barnard Catalogue: HW
Paediatric nutrition,UXR,Barnard Catalogue: UXR
Paediatric psychiatry,UXP,Barnard Catalogue: UXP
Paediatrics,UX,Barnard Catalogue: UX
Palliative care,UYQ,Barnard Catalogue: UYQ
Parasites,L ,Barnard Catalogue: L 
Parasitology,L,Barnard Catalogue: L
Pathology,P,Barnard Catalogue: P
Perinatal health,"UW-UWZ, UXB","Barnard Catalogue: UW-UWZ, UXB"
"Personal hygiene, health habits",SK,Barnard Catalogue: SK
Pharmacodynamics,RJ,Barnard Catalogue: RJ
Pharmacoepidemiology,RJ,Barnard Catalogue: RJ
Pharmacokinetics,RJ,Barnard Catalogue: RJ
Pharmacology,RJ-RJX,Barnard Catalogue: RJ-RJX
Pharmacovigilance,RJ,Barnard Catalogue: RJ
Pharmacy ,R,Barnard Catalogue: R
Pharmacy practice,RH,Barnard Catalogue: RH
Phylogenetics ,BJT ,Barnard Catalogue: BJT 
Physical activity,"SKF, SKJ","Barnard Catalogue: SKF, SKJ"
Physiology,BQ,Barnard Catalogue: BQ
Planetary health,BDS,Barnard Catalogue: BDS
Policy analysis,ZVU,Barnard Catalogue: ZVU
Political science,ZVP,Barnard Catalogue: ZVP
Population health,SO,Barnard Catalogue: SO
Pregnancy care management,UWE,Barnard Catalogue: UWE
Prevention of diseases (admin. measures),SP,Barnard Catalogue: SP
Primary health care,CBN,Barnard Catalogue: CBN
Prison healthcare,SPT,Barnard Catalogue: SPT
Private sector,"SYBC, RXH, CBTE","Barnard Catalogue: SYBC, RXH, CBTE"
Probability,BBP,Barnard Catalogue: BBP
Protistology,LA,Barnard Catalogue: LA
Protozoa,LA-LBU,Barnard Catalogue: LA-LBU
Psychiatry,UJ ,Barnard Catalogue: UJ 
Psychology,UJA-UJXS,Barnard Catalogue: UJA-UJXS
Public health,SO ,Barnard Catalogue: SO 
Public health administration,SOF,Barnard Catalogue: SOF
Public health engineering,SJ-SJZ,Barnard Catalogue: SJ-SJZ
Public health measure evaluation,SOA,Barnard Catalogue: SOA
Public health measure evaluation (statistical methods),EPA,Barnard Catalogue: EPA
Public health services (non-UK),SOFZ,Barnard Catalogue: SOFZ
Qualitative research,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Quality of care,SOA,Barnard Catalogue: SOA
Quality of life,UYS,Barnard Catalogue: UYS
Quantitative research,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Race and ethnic relations,ZYR,Barnard Catalogue: ZYR
Randomised control trials,"BBQ, C.AW, EHB, RJ.AW","Barnard Catalogue: BBQ, C.AW, EHB, RJ.AW"
Realist evaluation,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Refugees,ZYI,Barnard Catalogue: ZYI
Rehabilitation medicine,RY,Barnard Catalogue: RY
Reproductive health,UT-UWZ,Barnard Catalogue: UT-UWZ
Research ethics,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Research methodology,ZVB.AWB,Barnard Catalogue: ZVB.AWB
Respiratory system,UO,Barnard Catalogue: UO
Rural sociology,ZVH,Barnard Catalogue: ZVH
Sanitation,SH-SJZ,Barnard Catalogue: SH-SJZ
School-based health,SQL,Barnard Catalogue: SQL
"Serology, vaccines",HG,Barnard Catalogue: HG
Sex work,UTZ,Barnard Catalogue: UTZ
"Sexology, human sexuality",UT,Barnard Catalogue: UT
Sexual behaviour,UT-UTSY,Barnard Catalogue: UT-UTSY
Sexual health,UT-UWZ,Barnard Catalogue: UT-UWZ
"Sexual health, human rights and the law",TT,Barnard Catalogue: TT
Slavery,ZVF,Barnard Catalogue: ZVF
Smoking,GFW,Barnard Catalogue: GFW
Social and structural determinant of health,SQ,Barnard Catalogue: SQ
Social development,ZVM,Barnard Catalogue: ZVM
Social epidemiology,EB.U,Barnard Catalogue: EB.U
Social ethics,ZVL,Barnard Catalogue: ZVL
Social medicine,SQ,Barnard Catalogue: SQ
Social policy,ZVK,Barnard Catalogue: ZVK
Social psychology,UJBM-UJCD,Barnard Catalogue: UJBM-UJCD
Social science (general),ZV,Barnard Catalogue: ZV
Social work,ZVL,Barnard Catalogue: ZVL
Socio-cultural aspects of sex,UTL,Barnard Catalogue: UTL
Socio-legal studies,ZVT,Barnard Catalogue: ZVT
Sociology,ZVB,Barnard Catalogue: ZVB
Soil cultivation,YB,Barnard Catalogue: YB
Statistical methods,,Barnard Catalogue: 
Statistics (non-medical),BBM-BBU,Barnard Catalogue: BBM-BBU
Surgery,V,Barnard Catalogue: V
Surveillance,,Barnard Catalogue: 
Systematic reviews,C.B,Barnard Catalogue: C.B
T-cell immunology,"HB, HBR","Barnard Catalogue: HB, HBR"
Therapeutics,RK,Barnard Catalogue: RK
Tobacco control,GFW,Barnard Catalogue: GFW
Toxicology,G,Barnard Catalogue: G
Trade,ZVO,Barnard Catalogue: ZVO
Transport,ZVN-ZVNA,Barnard Catalogue: ZVN-ZVNA
Tropical medicine,UB,Barnard Catalogue: UB
Trypanosomes,LN-LW,Barnard Catalogue: LN-LW
Universal Health Coverage,,Barnard Catalogue: 
Urban sociology,ZVI,Barnard Catalogue: ZVI
Urbanisation,,Barnard Catalogue: 
Urology,US,Barnard Catalogue: US
Vaccinations,HG,Barnard Catalogue: HG
Vaccines,HG,Barnard Catalogue: HG
Vaccinology,HB-HIB,Barnard Catalogue: HB-HIB
Vector control,,Barnard Catalogue: 
Violence against women and girls,TTR,Barnard Catalogue: TTR
Virology,K,Barnard Catalogue: K
Vitamins and micronutrients,BEV,Barnard Catalogue: BEV
Water purification and treatment,SEZ-SEZX,Barnard Catalogue: SEZ-SEZX
Water supply,"SE-SEY, SEZY","Barnard Catalogue: SE-SEY, SEZY"
Zoology,BL ,Barnard Catalogue: BL 
