Label Value,Code,Description
Uruguay,7972,Barnard Country Code: :7972
Uzbekistan,274,Barnard Country Code: :274
Vanuatu,885,Barnard Country Code: :885
Vatican City,341,Barnard Country Code: :341
Venezuela,792,Barnard Country Code: :792
Vietnam,2282,Barnard Country Code: :2282
West Bank and Gaza,2911,Barnard Country Code: :2911
Yemen,288,Barnard Country Code: :288
Zambia,172,Barnard Country Code: :172
Zimbabwe,171,Barnard Country Code: :171
