Label,category,Vocabulary ID,Parent,GrandParent,GreatGrandParent,GreatGreatGrandParent,GreatGreatGreatGrandParent,n
Coronary Disease,C,C14.280.647.250,Myocardial Ischemia,Heart Diseases,Cardiovascular Diseases,NULL,NULL,346
Pneumococcal Infections,C,C01.150.252.410.890.670,Streptococcal Infections,Gram-Positive Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,339
Body Weight,C,C23.888.144,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,330
Acute Disease,C,C23.550.291.125,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,322
Leprosy,C,C01.150.252.410.040.552.475.371,"Mycobacterium Infections, Nontuberculous",Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,Bacterial Infections,319
Blindness,C,C10.597.751.941.162,Vision Disorders,Sensation Disorders,Neurologic Manifestations,Nervous System Diseases,NULL,318
Blindness,C,C11.966.075,Vision Disorders,Eye Diseases,NULL,NULL,NULL,318
Blindness,C,C23.888.592.763.941.162,Vision Disorders,Sensation Disorders,Neurologic Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",318
Uterine Cervical Neoplasms,C,C13.351.500.852.593.131,Uterine Cervical Diseases,Uterine Diseases,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,314
Uterine Cervical Neoplasms,C,C13.351.500.852.762.850,Uterine Neoplasms,Uterine Diseases,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,314
Uterine Cervical Neoplasms,C,C13.351.937.418.875.850,Uterine Neoplasms,"Genital Neoplasms, Female",Urogenital Neoplasms,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,314
Uterine Cervical Neoplasms,C,C04.588.945.418.948.850,Uterine Neoplasms,"Genital Neoplasms, Female",Urogenital Neoplasms,Neoplasms by Site,Neoplasms,314
Hepatitis C,C,C06.552.380.705.440,"Hepatitis, Viral, Human",Hepatitis,Liver Diseases,Digestive System Diseases,NULL,311
Hepatitis C,C,C01.221.250.750,Blood-Borne Infections,Communicable Diseases,Infections,NULL,NULL,311
Hepatitis C,C,C01.925.440.440,"Hepatitis, Viral, Human",Virus Diseases,Infections,NULL,NULL,311
Hepatitis C,C,C01.925.782.350.350,Flaviviridae Infections,RNA Virus Infections,Virus Diseases,Infections,NULL,311
Pregnancy Complications,C,C13.703,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,NULL,NULL,303
Parasitemia,C,C01.610.695,Parasitic Diseases,Infections,NULL,NULL,NULL,299
Parasitemia,C,C23.550.470.790.500.580,Sepsis,Systemic Inflammatory Response Syndrome,Inflammation,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",299
Syphilis,C,C01.221.812.281.859,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Communicable Diseases,Infections,NULL,297
Syphilis,C,C01.150.252.400.794.840.500,Treponemal Infections,Spirochaetales Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,297
Syphilis,C,C01.150.252.400.840.500,Treponemal Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,297
Syphilis,C,C01.150.252.734.859,"Sexually Transmitted Diseases, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,297
Syphilis,C,C01.778.281.859,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Infections,NULL,NULL,297
Syphilis,C,C13.351.500.711.281.859,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,297
Syphilis,C,C12.294.668.281.859,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Male",Male Urogenital Diseases,NULL,297
Lung Neoplasms,C,C04.588.894.797.520,Respiratory Tract Neoplasms,Thoracic Neoplasms,Neoplasms by Site,Neoplasms,NULL,294
Lung Neoplasms,C,C08.785.520,Respiratory Tract Neoplasms,Respiratory Tract Diseases,NULL,NULL,NULL,294
Lung Neoplasms,C,C08.381.540,Lung Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,294
Malnutrition,C,C18.654.521,Nutrition Disorders,Nutritional and Metabolic Diseases,NULL,NULL,NULL,292
Coinfection,C,C01.218,Infections,NULL,NULL,NULL,NULL,290
"Substance Abuse, Intravenous",C,C25.775.793,Substance-Related Disorders,Chemically-Induced Disorders,NULL,NULL,NULL,290
Heart Failure,C,C14.280.434,Heart Diseases,Cardiovascular Diseases,NULL,NULL,NULL,287
Papillomavirus Infections,C,C01.925.256.650,DNA Virus Infections,Virus Diseases,Infections,NULL,NULL,282
Papillomavirus Infections,C,C01.925.928.725,Tumor Virus Infections,Virus Diseases,Infections,NULL,NULL,282
"Disease Models, Animal",C,C22.232,Animal Diseases,NULL,NULL,NULL,NULL,280
Pneumonia,C,C01.748.610,Respiratory Tract Infections,Infections,NULL,NULL,NULL,274
Pneumonia,C,C08.381.677,Lung Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,274
Pneumonia,C,C08.730.610,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,NULL,NULL,274
Fever,C,C23.888.119.344,Body Temperature Changes,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,267
Occupational Diseases,C,C24,NULL,NULL,NULL,NULL,NULL,267
Respiratory Tract Infections,C,C08.730,Respiratory Tract Diseases,NULL,NULL,NULL,NULL,264
Respiratory Tract Infections,C,C01.748,Infections,NULL,NULL,NULL,NULL,264
Chlamydia Infections,C,C01.221.812.281.301,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Communicable Diseases,Infections,NULL,262
Chlamydia Infections,C,C01.150.252.734.301,"Sexually Transmitted Diseases, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,262
Chlamydia Infections,C,C01.150.252.400.210.125,Chlamydiaceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,262
Chlamydia Infections,C,C01.778.281.301,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Infections,NULL,NULL,262
Chlamydia Infections,C,C13.351.500.711.281.301,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,262
Chlamydia Infections,C,C12.294.668.281.301,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Male",Male Urogenital Diseases,NULL,262
Substance-Related Disorders,C,C25.775,Chemically-Induced Disorders,NULL,NULL,NULL,NULL,249
Postoperative Complications,C,C23.550.767,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,244
Cross Infection,C,C23.550.291.875.500,Iatrogenic Disease,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,243
Cross Infection,C,C01.248,Infections,NULL,NULL,NULL,NULL,243
Gonorrhea,C,C01.221.812.281.401,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Communicable Diseases,Infections,NULL,241
Gonorrhea,C,C01.150.252.400.625.275,Neisseriaceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,241
Gonorrhea,C,C01.150.252.734.401,"Sexually Transmitted Diseases, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,241
Gonorrhea,C,C01.778.281.401,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,Infections,NULL,NULL,241
Gonorrhea,C,C12.294.668.281.401,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Male",Male Urogenital Diseases,NULL,241
Gonorrhea,C,C13.351.500.711.281.401,"Sexually Transmitted Diseases, Bacterial",Sexually Transmitted Diseases,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,241
"Pregnancy Complications, Parasitic",C,C13.703.700.680,"Pregnancy Complications, Infectious",Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,231
"Pregnancy Complications, Parasitic",C,C01.610.718,Parasitic Diseases,Infections,NULL,NULL,NULL,231
Helminthiasis,C,C01.610.335,Parasitic Diseases,Infections,NULL,NULL,NULL,230
Cataract,C,C11.510.245,Lens Diseases,Eye Diseases,NULL,NULL,NULL,229
Wounds and Injuries,C,C26,NULL,NULL,NULL,NULL,NULL,229
"Leishmaniasis, Visceral",C,C01.610.752.300.500.510,Leishmaniasis,Euglenozoa Infections,Protozoan Infections,Parasitic Diseases,Infections,217
"Leishmaniasis, Visceral",C,C01.920.813.510,Leishmaniasis,Vector Borne Diseases,Infections,NULL,NULL,217
"Malaria, Vivax",C,C01.920.875.700,Malaria,Vector Borne Diseases,Infections,NULL,NULL,211
"Malaria, Vivax",C,C01.610.752.530.700,Malaria,Protozoan Infections,Parasitic Diseases,Infections,NULL,211
Zika Virus Infection,C,C01.920.500.990,Arbovirus Infections,Vector Borne Diseases,Infections,NULL,NULL,211
Zika Virus Infection,C,C01.925.081.990,Arbovirus Infections,Virus Diseases,Infections,NULL,NULL,211
Zika Virus Infection,C,C01.925.782.350.250.990,Flavivirus Infections,Flaviviridae Infections,RNA Virus Infections,Virus Diseases,Infections,211
Bacterial Infections,C,C01.150.252,Bacterial Infections and Mycoses,Infections,NULL,NULL,NULL,203
Prostatic Neoplasms,C,C04.588.945.440.770,"Genital Neoplasms, Male",Urogenital Neoplasms,Neoplasms by Site,Neoplasms,NULL,202
Prostatic Neoplasms,C,C12.758.409.750,"Genital Neoplasms, Male",Urogenital Neoplasms,Male Urogenital Diseases,NULL,NULL,202
Prostatic Neoplasms,C,C12.294.565.625,Prostatic Diseases,"Genital Diseases, Male",Male Urogenital Diseases,NULL,NULL,202
Prostatic Neoplasms,C,C12.294.260.750,"Genital Neoplasms, Male","Genital Diseases, Male",Male Urogenital Diseases,NULL,NULL,202
Chagas Disease,C,C01.610.752.300.900.200,Trypanosomiasis,Euglenozoa Infections,Protozoan Infections,Parasitic Diseases,Infections,200
Chagas Disease,C,C01.920.625,Vector Borne Diseases,Infections,NULL,NULL,NULL,200
Colorectal Neoplasms,C,C04.588.274.476.411.307,Intestinal Neoplasms,Gastrointestinal Neoplasms,Digestive System Neoplasms,Neoplasms by Site,Neoplasms,192
Colorectal Neoplasms,C,C06.405.469.491.307,Intestinal Neoplasms,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,192
Colorectal Neoplasms,C,C06.405.469.860.180,Rectal Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,192
Colorectal Neoplasms,C,C06.301.371.411.307,Intestinal Neoplasms,Gastrointestinal Neoplasms,Digestive System Neoplasms,Digestive System Diseases,NULL,192
Colorectal Neoplasms,C,C06.405.249.411.307,Intestinal Neoplasms,Gastrointestinal Neoplasms,Gastrointestinal Diseases,Digestive System Diseases,NULL,192
Colorectal Neoplasms,C,C06.405.469.158.356,Colonic Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,192
Inflammation,C,C23.550.470,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,191
Prenatal Exposure Delayed Effects,C,C13.703.824.500,Prenatal Injuries,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,190
Measles,C,C01.925.782.580.600.500.500,Morbillivirus Infections,Paramyxoviridae Infections,Mononegavirales Infections,RNA Virus Infections,Virus Diseases,186
Sepsis,C,C01.757,Infections,NULL,NULL,NULL,NULL,186
Sepsis,C,C23.550.470.790.500,Systemic Inflammatory Response Syndrome,Inflammation,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,186
Hepatitis B,C,C01.221.250.500,Blood-Borne Infections,Communicable Diseases,Infections,NULL,NULL,179
Hepatitis B,C,C01.925.440.435,"Hepatitis, Viral, Human",Virus Diseases,Infections,NULL,NULL,179
Hepatitis B,C,C01.925.256.430.400,Hepadnaviridae Infections,DNA Virus Infections,Virus Diseases,Infections,NULL,179
Hepatitis B,C,C06.552.380.705.437,"Hepatitis, Viral, Human",Hepatitis,Liver Diseases,Digestive System Diseases,NULL,179
Overweight,C,C23.888.144.699,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,173
Disease Susceptibility,C,C23.550.291.687,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,171
Stillbirth,C,C23.550.260.585.630,Fetal Death,Death,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,170
Stillbirth,C,C13.703.223.650,Fetal Death,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,170
Premature Birth,C,C13.703.420.491.500,"Obstetric Labor, Premature",Obstetric Labor Complications,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,167
Zoonoses,C,C22.969,Animal Diseases,NULL,NULL,NULL,NULL,166
Zoonoses,C,C01.973,Infections,NULL,NULL,NULL,NULL,166
"Renal Insufficiency, Chronic",C,C13.351.968.419.780.750,Renal Insufficiency,Kidney Diseases,Urologic Diseases,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,164
"Renal Insufficiency, Chronic",C,C12.777.419.780.750,Renal Insufficiency,Kidney Diseases,Urologic Diseases,Male Urogenital Diseases,NULL,164
"Pulmonary Disease, Chronic Obstructive",C,C08.381.495.389,"Lung Diseases, Obstructive",Lung Diseases,Respiratory Tract Diseases,NULL,NULL,163
Acute Coronary Syndrome,C,C14.280.647.124,Myocardial Ischemia,Heart Diseases,Cardiovascular Diseases,NULL,NULL,162
Acute Coronary Syndrome,C,C14.907.585.124,Myocardial Ischemia,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,162
Alcoholism,C,C25.775.100.250,Alcohol-Related Disorders,Substance-Related Disorders,Chemically-Induced Disorders,NULL,NULL,162
Melioidosis,C,C01.150.252.400.170.531,Burkholderia Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,161
Hemorrhage,C,C23.550.414,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,160
Dementia,C,C10.228.140.380,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,NULL,156
Noncommunicable Diseases,C,C23.550.291.898,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,156
Bacteremia,C,C01.150.252.100,Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,NULL,154
Bacteremia,C,C01.757.100,Sepsis,Infections,NULL,NULL,NULL,154
