Label,category,Vocabulary ID,Parent,GrandParent,n
Cohort Studies,N,N05.715.360.330.500.750,Epidemiologic Studies,Epidemiologic Study Characteristics,2994
Cohort Studies,E,E05.318.372.500.750,Epidemiologic Studies,Epidemiologic Study Characteristics,2994
"Aged, 80 and over",M,M01.060.116.100.080,Aged,Adult,2968
Surveys and Questionnaires,N,N05.715.360.300.800,Data Collection,Health Care Evaluation Mechanisms,2849
Surveys and Questionnaires,N,N06.850.520.308.980,Data Collection,Epidemiologic Methods,2849
Surveys and Questionnaires,E,E05.318.308.980,Data Collection,Epidemiologic Methods,2849
Incidence,E,E05.318.308.985.525.375,Morbidity,Vital Statistics,2761
Incidence,N,N06.850.520.308.985.525.375,Morbidity,Vital Statistics,2761
Incidence,N,N06.850.505.400.975.525.375,Morbidity,Vital Statistics,2761
Incidence,N,N01.224.935.597.500,Morbidity,Vital Statistics,2761
Malaria,C,C01.920.875,Vector Borne Diseases,Infections,2572
Malaria,C,C01.610.752.530,Protozoan Infections,Parasitic Diseases,2572
Treatment Outcome,E,E01.789.800,Prognosis,Diagnosis,2498
Treatment Outcome,N,N05.715.360.575.575.800,"Outcome Assessment, Health Care","Outcome and Process Assessment, Health Care",2498
Treatment Outcome,N,N04.761.559.590.800,"Outcome Assessment, Health Care","Outcome and Process Assessment, Health Care",2498
Prospective Studies,N,N05.715.360.330.500.750.650,Cohort Studies,Epidemiologic Studies,2479
Prospective Studies,E,E05.318.372.500.750.625,Cohort Studies,Epidemiologic Studies,2479
Prospective Studies,N,N06.850.520.450.500.750.650,Cohort Studies,Epidemiologic Studies,2479
England,Z,Z01.542.363.300,United Kingdom,Europe,2441
Developing Countries,I,I01.615.500.300,International Cooperation,Internationality,2308
Time Factors,G,G01.910.857,Time,Physical Phenomena,2269
Socioeconomic Factors,I,I01.880.853.996,Sociological Factors,Sociology,2210
Socioeconomic Factors,N,N01.824,Population Characteristics,NULL,2210
Global Health,N,N01.400.337,Health,Population Characteristics,2081
Global Health,H,H02.403.371,Medicine,Health Occupations,2081
Age Factors,N,N06.850.490.250,Epidemiologic Factors,Public Health,1845
Age Factors,N,N05.715.350.075,Epidemiologic Factors,Quality of Health Care,1845
Rural Population,N,N01.600.725,Population,Population Characteristics,1840
Retrospective Studies,N,N05.715.360.330.500.750.825,Cohort Studies,Epidemiologic Studies,1785
Retrospective Studies,N,N05.715.360.330.500.500.500,Case-Control Studies,Epidemiologic Studies,1785
Retrospective Studies,E,E05.318.372.500.750.750,Cohort Studies,Epidemiologic Studies,1785
Retrospective Studies,E,E05.318.372.500.500.500,Case-Control Studies,Epidemiologic Studies,1785
Retrospective Studies,N,N06.850.520.450.500.750.825,Cohort Studies,Epidemiologic Studies,1785
Retrospective Studies,N,N06.850.520.450.500.500.500,Case-Control Studies,Epidemiologic Studies,1785
COVID-19,C,C01.748.214,Respiratory Tract Infections,Infections,1750
COVID-19,C,C01.748.610.763.500,"Pneumonia, Viral",Pneumonia,1750
COVID-19,C,C01.925.782.600.550.200.163,Coronavirus Infections,Coronaviridae Infections,1750
COVID-19,C,C01.925.705.500,"Pneumonia, Viral",Virus Diseases,1750
COVID-19,C,C08.381.677.807.500,"Pneumonia, Viral",Pneumonia,1750
COVID-19,C,C08.730.214,Respiratory Tract Infections,Respiratory Tract Diseases,1750
COVID-19,C,C08.730.610.763.500,"Pneumonia, Viral",Pneumonia,1750
Uganda,Z,Z01.058.290.120.880,"Africa, Eastern",Africa South of the Sahara,1702
Plasmodium falciparum,B,B01.043.075.380.611.561,Plasmodium,Haemosporida,1689
Case-Control Studies,N,N06.850.520.450.500.500,Epidemiologic Studies,Epidemiologic Study Characteristics,1686
Case-Control Studies,E,E05.318.372.500.500,Epidemiologic Studies,Epidemiologic Study Characteristics,1686
Case-Control Studies,N,N05.715.360.330.500.500,Epidemiologic Studies,Epidemiologic Study Characteristics,1686
"Malaria, Falciparum",C,C01.920.875.650,Malaria,Vector Borne Diseases,1648
"Malaria, Falciparum",C,C01.610.752.530.650,Malaria,Protozoan Infections,1648
Cost-Benefit Analysis,N,N03.219.151.125,Costs and Cost Analysis,Economics,1602
Randomized Controlled Trials as Topic,N,N05.715.360.330.250.250.365.500,Controlled Clinical Trials as Topic,Clinical Trials as Topic,1595
Randomized Controlled Trials as Topic,E,E05.318.372.250.250.365.500,Controlled Clinical Trials as Topic,Clinical Trials as Topic,1595
Randomized Controlled Trials as Topic,N,N06.850.520.450.250.250.365.500,Controlled Clinical Trials as Topic,Clinical Trials as Topic,1595
Follow-Up Studies,N,N06.850.520.450.500.750.350,Cohort Studies,Epidemiologic Studies,1574
Follow-Up Studies,E,E05.318.372.500.750.249,Cohort Studies,Epidemiologic Studies,1574
Follow-Up Studies,N,N05.715.360.330.500.750.350,Cohort Studies,Epidemiologic Studies,1574
Tuberculosis,C,C01.150.252.410.040.552.846,Mycobacterium Infections,Actinomycetales Infections,1563
Health Policy,N,N03.623.500.608.428,Public Policy,Social Control Policies,1525
Health Policy,I,I01.655.500.608.400,Public Policy,Social Control Policies,1525
Health Policy,I,I01.880.604.825.608.400,Public Policy,Social Control Policies,1525
India,Z,Z01.252.245.393,"Asia, Western",Asia,1524
Public Health,H,H02.403.720,Medicine,Health Occupations,1506
Public Health,N,N06.850,Environment and Public Health,NULL,1506
Public Health,N,N01.400.550,Health,Population Characteristics,1506
Antimalarials,D,D27.505.954.122.250.100.085,Antiprotozoal Agents,Antiparasitic Agents,1427
South Africa,Z,Z01.058.290.175.735,"Africa, Southern",Africa South of the Sahara,1406
Delivery of Health Care,N,N04.590.374,Patient Care Management,Health Services Administration,1405
Delivery of Health Care,N,N05.300,"Health Care Quality, Access, and Evaluation",NULL,1405
Vaccination,N,N02.421.726.758.310.890,Immunization,Primary Prevention,1388
Vaccination,E,E05.478.550.600.890,"Immunotherapy, Active",Immunization,1388
Vaccination,N,N06.850.780.200.425.900,Immunization,Communicable Disease Control,1388
Vaccination,N,N06.850.780.680.310.890,Immunization,Primary Prevention,1388
Vaccination,E,E02.095.465.425.400.530.890,"Immunotherapy, Active",Immunization,1388
Europe,Z,Z01.542,Geographic Locations,NULL,1387
Health Services Accessibility,N,N05.300.430,Delivery of Health Care,"Health Care Quality, Access, and Evaluation",1374
Health Services Accessibility,N,N04.590.374.350,Delivery of Health Care,Patient Care Management,1374
Tanzania,Z,Z01.058.290.120.840,"Africa, Eastern",Africa South of the Sahara,1364
Risk Assessment,N,N06.850.520.830.600.800.715,Risk,Probability,1325
Risk Assessment,N,N04.452.871.715,Risk Management,Organization and Administration,1325
Risk Assessment,N,N06.850.505.715,Epidemiologic Measurements,Public Health,1325
Risk Assessment,N,N05.715.360.750.625.700.690,Risk,Probability,1325
Risk Assessment,E,E05.318.740.600.800.715,Risk,Probability,1325
Disease Outbreaks,N,N06.850.290,Public Health,Environment and Public Health,1294
Sensitivity and Specificity,N,N05.715.360.750.725,Statistics as Topic,Health Care Evaluation Mechanisms,1244
Sensitivity and Specificity,N,N05.715.360.325.700,Epidemiologic Research Design,Health Care Evaluation Mechanisms,1244
Sensitivity and Specificity,G,G17.800,Mathematical Concepts,NULL,1244
Sensitivity and Specificity,E,E05.318.740.872,Statistics as Topic,Epidemiologic Methods,1244
Sensitivity and Specificity,E,E05.318.370.800,Epidemiologic Research Design,Epidemiologic Methods,1244
Sensitivity and Specificity,N,N06.850.520.830.872,Statistics as Topic,Epidemiologic Methods,1244
Sensitivity and Specificity,N,N06.850.520.445.800,Epidemiologic Research Design,Epidemiologic Methods,1244
Qualitative Research,H,H01.770.644.241.850,Empirical Research,Research,1219
SARS-CoV-2,B,B04.820.578.500.540.150.113.968,Betacoronavirus,Coronavirus,1210
Longitudinal Studies,N,N05.715.360.330.500.750.500,Cohort Studies,Epidemiologic Studies,1192
Longitudinal Studies,E,E05.318.372.500.750.500,Cohort Studies,Epidemiologic Studies,1192
Longitudinal Studies,N,N06.850.520.450.500.750.500,Cohort Studies,Epidemiologic Studies,1192
Logistic Models,N,N06.850.520.830.750.450,Regression Analysis,Statistics as Topic,1174
Logistic Models,N,N06.850.520.830.600.800.450,Risk,Probability,1174
Logistic Models,N,N06.850.520.830.500.525,"Models, Statistical",Statistics as Topic,1174
Logistic Models,E,E05.318.740.500.525,"Models, Statistical",Statistics as Topic,1174
Logistic Models,E,E05.318.740.750.450,Regression Analysis,Statistics as Topic,1174
Logistic Models,E,E05.318.740.600.800.450,Risk,Probability,1174
Logistic Models,E,E05.599.835.875,"Models, Statistical","Models, Theoretical",1174
Logistic Models,N,N05.715.360.750.530.480,"Models, Statistical",Statistics as Topic,1174
Logistic Models,N,N05.715.360.750.695.470,Regression Analysis,Statistics as Topic,1174
Logistic Models,N,N05.715.360.750.625.700.450,Risk,Probability,1174
Genotype,G,G05.380,Genetic Phenomena,NULL,1170
Anti-Bacterial Agents,D,D27.505.954.122.085,Anti-Infective Agents,Therapeutic Uses,1167
Research Design,E,E05.581.500,Methods,Investigative Techniques,1155
Research Design,H,H01.770.644.728,Research,Science,1155
Gambia,Z,Z01.058.290.190.300,"Africa, Western",Africa South of the Sahara,1146
Sex Factors,N,N06.850.490.875,Epidemiologic Factors,Public Health,1085
Sex Factors,N,N05.715.350.675,Epidemiologic Factors,Quality of Health Care,1085
"Health Knowledge, Attitudes, Practice",N,N05.300.150.410,Attitude to Health,Delivery of Health Care,1083
"Health Knowledge, Attitudes, Practice",F,F01.100.150.500,Attitude to Health,Attitude,1083
Sexual Behavior,F,F01.145.802,Behavior,Behavior and Behavior Mechanisms,1078
Population Surveillance,E,E05.318.308.980.438.700,Health Surveys,Surveys and Questionnaires,1073
Population Surveillance,N,N06.850.520.308.980.438.700,Health Surveys,Surveys and Questionnaires,1073
Population Surveillance,N,N05.715.360.300.800.438.625,Health Surveys,Surveys and Questionnaires,1073
Population Surveillance,N,N06.850.780.675,Public Health Practice,Public Health,1073
Mycobacterium tuberculosis,B,B03.510.024.962.500.702,Mycobacterium,Mycobacteriaceae,1045
Mycobacterium tuberculosis,B,B03.510.460.400.410.552.552.702,Mycobacterium,Mycobacteriaceae,1045
Kenya,Z,Z01.058.290.120.400,"Africa, Eastern",Africa South of the Sahara,1032
Pandemics,N,N06.850.290.200.600,Epidemics,Disease Outbreaks,1030
Reproducibility of Results,N,N05.715.360.325.685,Epidemiologic Research Design,Health Care Evaluation Mechanisms,990
Reproducibility of Results,E,E05.318.370.725,Epidemiologic Research Design,Epidemiologic Methods,990
Reproducibility of Results,E,E05.337.851,Evaluation Studies as Topic,Investigative Techniques,990
Reproducibility of Results,N,N06.850.520.445.725,Epidemiologic Research Design,Epidemiologic Methods,990
Mice,B,B01.050.150.900.649.313.992.635.505.500,Murinae,Muridae,989
Primary Health Care,N,N04.590.233.727,Comprehensive Health Care,Patient Care Management,984
Odds Ratio,N,N05.715.360.750.625.590,Probability,Statistics as Topic,973
Odds Ratio,G,G17.680.500,Probability,Mathematical Concepts,973
Odds Ratio,E,E05.318.740.600.600,Probability,Statistics as Topic,973
Odds Ratio,N,N06.850.520.830.600.600,Probability,Statistics as Topic,973
HIV-1,B,B04.820.650.589.650.350.400,HIV,"Lentiviruses, Primate",972
Patient Acceptance of Health Care,F,F01.145.488.887.500,Treatment Adherence and Compliance,Health Behavior,969
Patient Acceptance of Health Care,F,F01.100.150.750.500,Treatment Adherence and Compliance,Attitude to Health,969
Patient Acceptance of Health Care,N,N05.300.150.800.500,Treatment Adherence and Compliance,Attitude to Health,969
Mass Screening,N,N05.715.360.300.800.438.500,Health Surveys,Surveys and Questionnaires,968
Mass Screening,N,N06.850.520.308.980.438.580,Health Surveys,Surveys and Questionnaires,968
Mass Screening,N,N02.421.726.233.443,Diagnostic Services,Preventive Health Services,968
Mass Screening,E,E05.318.308.980.438.580,Health Surveys,Surveys and Questionnaires,968
Mass Screening,N,N06.850.780.500,Public Health Practice,Public Health,968
Mass Screening,E,E01.370.500,Diagnostic Techniques and Procedures,Diagnosis,968
Africa,Z,Z01.058,Geographic Locations,NULL,967
Interviews as Topic,E,E05.318.308.420,Data Collection,Epidemiologic Methods,955
Interviews as Topic,L,L01.399.250.520,Data Collection,Information Management,955
Interviews as Topic,N,N06.850.520.308.420,Data Collection,Epidemiologic Methods,955
Interviews as Topic,N,N05.715.360.300.400,Data Collection,Health Care Evaluation Mechanisms,955
Cardiovascular Diseases,C,C14,NULL,NULL,948
"Models, Statistical",N,N05.715.360.750.530,Statistics as Topic,Health Care Evaluation Mechanisms,945
"Models, Statistical",E,E05.318.740.500,Statistics as Topic,Epidemiologic Methods,945
"Models, Statistical",E,E05.599.835,"Models, Theoretical",Investigative Techniques,945
"Models, Statistical",N,N06.850.520.830.500,Statistics as Topic,Epidemiologic Methods,945
Hospitalization,N,N02.421.585.400,Patient Care,Health Services,923
Hospitalization,E,E02.760.400,Patient Care,Therapeutics,923
Anti-HIV Agents,D,D27.505.954.122.388.077.088,Anti-Retroviral Agents,Antiviral Agents,900
Molecular Sequence Data,L,L01.453.245.667,Documentation,Information Services,890
Age Distribution,N,N01.224.033,Demography,Population Characteristics,884
Age Distribution,N,N06.850.505.400.050,Demography,Epidemiologic Measurements,884
Age Distribution,I,I01.240.050,Demography,Social Sciences,884
"Polymorphism, Single Nucleotide",G,G05.365.795.598,"Polymorphism, Genetic",Genetic Variation,883
Prognosis,E,E01.789,Diagnosis,NULL,880
Poverty,I,I01.880.735.634,Social Problems,Sociology,879
Poverty,I,I01.880.853.996.535,Socioeconomic Factors,Sociological Factors,879
Poverty,N,N01.824.600,Socioeconomic Factors,Population Characteristics,879
Phylogeny,L,L01.100.697,Classification,Information Science,878
Phylogeny,G,G16.075.605,Biological Evolution,Biological Phenomena,878
Phylogeny,G,G05.697,Genetic Phenomena,NULL,878
World Health Organization,N,N03.540.514.718.800,United Nations,International Agencies,866
Africa South of the Sahara,Z,Z01.058.290,Africa,Geographic Locations,864
Seasons,N,N06.230.300.100.250.525,Climate,Atmosphere,836
Seasons,G,G16.500.275.071.590,Climate,Environment,836
Seasons,G,G01.910.645.661,Periodicity,Time,836
State Medicine,N,N03.858,Health Care Economics and Organizations,NULL,832
State Medicine,N,N03.349.550.902,National Health Programs,Health Planning,832
Registries,N,N04.452.859.819,Records,Organization and Administration,826
Registries,N,N05.715.360.300.715.700,Records,Data Collection,826
Registries,N,N06.850.520.308.970,Data Collection,Epidemiologic Methods,826
Registries,E,E05.318.308.970,Data Collection,Epidemiologic Methods,826
United States,Z,Z01.107.567.875,North America,Americas,822
Health Promotion,N,N02.421.726.407.579,Health Education,Preventive Health Services,796
Health Promotion,I,I02.233.332.445,Health Education,"Education, Nonprofessional",796
Brazil,Z,Z01.107.757.176,South America,Americas,793
Quality of Life,K,K01.752.400.750,Life,Philosophy,791
Quality of Life,I,I01.800,Social Sciences,NULL,791
Quality of Life,N,N06.850.505.400.425.837,Health Status,Demography,791
"Models, Theoretical",E,E05.599,Investigative Techniques,NULL,785
Neoplasms,C,C04,NULL,NULL,779
Health Surveys,E,E05.318.308.980.438,Surveys and Questionnaires,Data Collection,776
Health Surveys,N,N06.850.520.308.980.438,Surveys and Questionnaires,Data Collection,776
Health Surveys,N,N05.715.360.300.800.438,Surveys and Questionnaires,Data Collection,776
Polymerase Chain Reaction,E,E05.393.620.500,Nucleic Acid Amplification Techniques,Genetic Techniques,768
Biomarkers,D,D23.101,Biological Factors,NULL,765
Regression Analysis,E,E05.318.740.750,Statistics as Topic,Epidemiologic Methods,755
Regression Analysis,N,N05.715.360.750.695,Statistics as Topic,Health Care Evaluation Mechanisms,755
Regression Analysis,N,N06.850.520.830.750,Statistics as Topic,Epidemiologic Methods,755
Mortality,N,N06.850.520.308.985.550,Vital Statistics,Data Collection,745
Mortality,N,N06.850.505.400.975.550,Vital Statistics,Demography,745
Mortality,N,N01.224.935.698,Vital Statistics,Demography,745
Mortality,E,E05.318.308.985.550,Vital Statistics,Data Collection,745
Survival Analysis,E,E05.318.740.998,Statistics as Topic,Epidemiologic Methods,743
Survival Analysis,N,N05.715.360.750.795,Statistics as Topic,Health Care Evaluation Mechanisms,743
Survival Analysis,N,N06.850.520.830.998,Statistics as Topic,Epidemiologic Methods,743
London,Z,Z01.433.553,Cities,Geographic Locations,741
London,Z,Z01.542.363.300.553,England,United Kingdom,741
Severity of Illness Index,N,N05.715.360.300.800.438.375.364.500,Patient Acuity,Health Status Indicators,740
Severity of Illness Index,N,N06.850.520.308.980.438.475.364.500,Patient Acuity,Health Status Indicators,740
Severity of Illness Index,E,E05.318.308.980.438.475.456.500,Patient Acuity,Health Status Indicators,740
Urban Population,N,N01.600.900,Population,Population Characteristics,738
"Tuberculosis, Pulmonary",C,C01.150.252.410.040.552.846.899,Tuberculosis,Mycobacterium Infections,733
"Tuberculosis, Pulmonary",C,C01.748.939,Respiratory Tract Infections,Infections,733
"Tuberculosis, Pulmonary",C,C08.730.939,Respiratory Tract Infections,Respiratory Tract Diseases,733
"Tuberculosis, Pulmonary",C,C08.381.922,Lung Diseases,Respiratory Tract Diseases,733
Antitubercular Agents,D,D27.505.954.122.085.255,Anti-Bacterial Agents,Anti-Infective Agents,727
Malawi,Z,Z01.058.290.175.500,"Africa, Southern",Africa South of the Sahara,717
Health Personnel,M,M01.526.485,Occupational Groups,Persons,710
Health Personnel,N,N02.360,"Health Care Facilities, Manpower, and Services",NULL,710
Body Mass Index,N,N06.850.505.200.100.175,Anthropometry,Biometry,706
Body Mass Index,E,E05.041.124.125,Body Weights and Measures,Anthropometry,706
Body Mass Index,G,G07.100.100.125,Body Weights and Measures,Body Constitution,706
Body Mass Index,E,E01.370.600.115.100.125,Body Weights and Measures,Body Constitution,706
Obesity,E,E01.370.600.115.100.160.120.699.500,Overweight,Body Weight,706
Obesity,C,C18.654.726.500,Overnutrition,Nutrition Disorders,706
Obesity,C,C23.888.144.699.500,Overweight,Body Weight,706
Obesity,G,G07.100.100.160.120.699.500,Overweight,Body Weight,706
Data Collection,E,E05.318.308,Epidemiologic Methods,Investigative Techniques,701
Data Collection,N,N06.850.520.308,Epidemiologic Methods,Public Health,701
Data Collection,N,N05.715.360.300,Health Care Evaluation Mechanisms,Quality of Health Care,701
Data Collection,L,L01.399.250,Information Management,Information Science,701
Risk,N,N05.715.360.750.625.700,Probability,Statistics as Topic,693
Risk,G,G17.680.750,Probability,Mathematical Concepts,693
Risk,E,E05.318.740.600.800,Probability,Statistics as Topic,693
Risk,N,N06.850.520.830.600.800,Probability,Statistics as Topic,693
China,Z,Z01.252.474.164,Far East,Asia,690
Cause of Death,E,E05.318.308.985.550.250,Mortality,Vital Statistics,688
Cause of Death,N,N06.850.505.400.975.550.250,Mortality,Vital Statistics,688
Cause of Death,N,N06.850.520.308.985.550.250,Mortality,Vital Statistics,688
Cause of Death,N,N01.224.935.698.100,Mortality,Vital Statistics,688
Clinical Trials as Topic,N,N05.715.360.330.250.250,Clinical Studies as Topic,Epidemiologic Study Characteristics,688
Clinical Trials as Topic,E,E05.318.372.250.250,Clinical Studies as Topic,Epidemiologic Study Characteristics,688
Clinical Trials as Topic,N,N06.850.520.450.250.250,Clinical Studies as Topic,Epidemiologic Study Characteristics,688
Smoking,F,F01.145.805,Behavior,Behavior and Behavior Mechanisms,686
Genetic Predisposition to Disease,G,G05.380.355,Genotype,Genetic Phenomena,683
Genetic Predisposition to Disease,C,C23.550.291.687.500,Disease Susceptibility,Disease Attributes,683
"Drug Therapy, Combination",E,E02.319.310,Drug Therapy,Therapeutics,676
Sexually Transmitted Diseases,C,C23.550.291.531.937,Communicable Diseases,Disease Attributes,675
Sexually Transmitted Diseases,C,C12.294.668,"Genital Diseases, Male",Male Urogenital Diseases,675
Sexually Transmitted Diseases,C,C13.351.500.711,"Genital Diseases, Female",Female Urogenital Diseases,675
Sexually Transmitted Diseases,C,C01.778,Infections,NULL,675
Sexually Transmitted Diseases,C,C01.221.812,Communicable Diseases,Infections,675
Family Characteristics,F,F01.829.263.315,Family,"Psychology, Social",673
Family Characteristics,N,N06.850.505.400.400,Demography,Epidemiologic Measurements,673
Family Characteristics,N,N01.224.361,Demography,Population Characteristics,673
Family Characteristics,N,N01.824.308,Socioeconomic Factors,Population Characteristics,673
Family Characteristics,I,I01.240.361,Demography,Social Sciences,673
Family Characteristics,I,I01.880.853.150.423,Family,Sociological Factors,673
Genetic Variation,G,G05.365,Genetic Phenomena,NULL,670
Multivariate Analysis,E,E05.318.740.150.500,Analysis of Variance,Statistics as Topic,670
Multivariate Analysis,N,N05.715.360.750.125.500,Analysis of Variance,Statistics as Topic,670
Multivariate Analysis,N,N06.850.520.830.150.500,Analysis of Variance,Statistics as Topic,670
Ghana,Z,Z01.058.290.190.320,"Africa, Western",Africa South of the Sahara,664
Anopheles,B,B01.050.500.131.617.720.500.500.750.712.500.875.120,Culicidae,Culicomorpha,656
Health Status,N,N06.850.505.400.425,Demography,Epidemiologic Measurements,656
Health Status,N,N01.224.425,Demography,Population Characteristics,656
Health Status,I,I01.240.425,Demography,Social Sciences,656
Program Evaluation,N,N05.715.360.650,Health Care Evaluation Mechanisms,Quality of Health Care,656
Program Evaluation,N,N04.761.685,Quality of Health Care,Health Services Administration,656
Program Evaluation,E,E05.337.820,Evaluation Studies as Topic,Investigative Techniques,656
Communicable Disease Control,N,N06.850.780.200,Public Health Practice,Public Health,655
Mosquito Control,N,N06.850.780.200.650.425.500,Insect Control,Pest Control,655
Protozoan Proteins,D,D12.776.820,Proteins,"Amino Acids, Peptides, and Proteins",645
Hypertension,C,C14.907.489,Vascular Diseases,Cardiovascular Diseases,641
Cluster Analysis,N,N06.850.520.830.250,Statistics as Topic,Epidemiologic Methods,620
Cluster Analysis,E,E05.318.740.250,Statistics as Topic,Epidemiologic Methods,620
Cluster Analysis,N,N05.715.360.750.200,Statistics as Topic,Health Care Evaluation Mechanisms,620
Health Services Research,N,N05.425,"Health Care Quality, Access, and Evaluation",NULL,619
Health Services Research,N,N03.349.380,Health Planning,Health Care Economics and Organizations,619
Health Services Research,H,H01.770.644.145.360,Biomedical Research,Research,619
Sex Distribution,I,I01.240.800,Demography,Social Sciences,619
Sex Distribution,N,N01.224.803,Demography,Population Characteristics,619
Sex Distribution,N,N06.850.505.400.850,Demography,Epidemiologic Measurements,619
International Cooperation,I,I01.615.500,Internationality,Social Sciences,613
Double-Blind Method,N,N05.715.360.325.320,Epidemiologic Research Design,Health Care Evaluation Mechanisms,607
Double-Blind Method,E,E05.318.370.300,Epidemiologic Research Design,Epidemiologic Methods,607
Double-Blind Method,E,E05.581.500.300,Research Design,Methods,607
Double-Blind Method,N,N06.850.520.445.300,Epidemiologic Research Design,Epidemiologic Methods,607
Wales,Z,Z01.542.363.914,United Kingdom,Europe,604
"Pregnancy Complications, Infectious",C,C13.703.700,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,602
"Pregnancy Complications, Infectious",C,C01.674,Infections,NULL,602
Proportional Hazards Models,N,N06.850.520.830.600.700,Probability,Statistics as Topic,602
Proportional Hazards Models,N,N06.850.520.830.500.700,"Models, Statistical",Statistics as Topic,602
Proportional Hazards Models,N,N06.850.520.830.750.725,Regression Analysis,Statistics as Topic,602
Proportional Hazards Models,N,N06.850.520.830.998.912,Survival Analysis,Statistics as Topic,602
Proportional Hazards Models,E,E05.599.835.900,"Models, Statistical","Models, Theoretical",602
Proportional Hazards Models,E,E05.318.740.500.700,"Models, Statistical",Statistics as Topic,602
Proportional Hazards Models,E,E05.318.740.600.700,Probability,Statistics as Topic,602
Proportional Hazards Models,E,E05.318.740.750.725,Regression Analysis,Statistics as Topic,602
Proportional Hazards Models,E,E05.318.740.998.825,Survival Analysis,Statistics as Topic,602
Proportional Hazards Models,N,N05.715.360.750.625.650,Probability,Statistics as Topic,602
Proportional Hazards Models,N,N05.715.360.750.530.650,"Models, Statistical",Statistics as Topic,602
Proportional Hazards Models,N,N05.715.360.750.695.650,Regression Analysis,Statistics as Topic,602
Proportional Hazards Models,N,N05.715.360.750.795.825,Survival Analysis,Statistics as Topic,602
"Sequence Analysis, DNA",E,E05.393.760.700,Sequence Analysis,Genetic Techniques,601
Insecticides,D,D27.888.723.491,Pesticides,Toxic Actions,593
Insecticides,D,D27.720.031.700.491,Pesticides,Agrochemicals,593
Mutation,G,G05.365.590,Genetic Variation,Genetic Phenomena,591
Diet,G,G07.203.650.240,Nutritional Physiological Phenomena,"Diet, Food, and Nutrition",587
Predictive Value of Tests,E,E05.318.370.800.650,Sensitivity and Specificity,Epidemiologic Research Design,577
Predictive Value of Tests,N,N05.715.360.325.700.640,Sensitivity and Specificity,Epidemiologic Research Design,577
Predictive Value of Tests,N,N06.850.520.445.800.650,Sensitivity and Specificity,Epidemiologic Research Design,577
Drug Combinations,D,D26.310,Pharmaceutical Preparations,NULL,576
Sexual Partners,M,M01.778,Persons,NULL,576
CD4 Lymphocyte Count,G,G09.188.105.595.500.150,Lymphocyte Count,Leukocyte Count,573
CD4 Lymphocyte Count,E,E05.242.195.107.595.500.150,Lymphocyte Count,Leukocyte Count,573
